,progression_free,overall_survival,mutations,neos500,presentPct
progression_free,1,0.680780505853128,-0.049426197123478,-0.0895700409524137,-0.0970240087326393
overall_survival,0.789072120597332,1,0.152072280980252,0.114007299968703,-0.0769346872907544
mutations,0.0464231962870079,0.1596040513824,1,0.904836128799544,0.180698410922214
neos500,-0.00612479309899861,0.0979616827278641,0.962447064878487,1,0.434762106126162
presentPct,0.0586268523434743,-0.139204981079082,0.0201821754475862,0.161143004245221,1
