Sample,rate.50,rate.100,rate.200,rate.500
EP372668,0.06197516,0.12524743,0.24088797,0.50723921
AN293177,0.72615667,0.95992541,0.99825754,1.00000000
NE179096,0.73045628,0.95916595,0.99795673,1.00000000
WE615011,0.02283248,0.06414958,0.15706889,0.40131045
RL562554,0.03746751,0.07938903,0.14403390,0.26290921
BP983860,0.02278818,0.06506696,0.16020712,0.40690928
ZK434939,0.37345960,0.57614818,0.74415119,0.87677470
ZL338926,0.01524650,0.02912312,0.05183476,0.10028615
VI665293,0.32621504,0.51287283,0.67793060,0.82430108
PZ793599,0.02719533,0.06921648,0.16114080,0.40456768
WH928128,0.04375902,0.09893477,0.20819651,0.47739363
HT275463,0.02145856,0.05875545,0.14425710,0.38020299
AQ286794,0.02510847,0.06811359,0.16393453,0.41208989
VK425379,0.07129938,0.13843665,0.25711527,0.51777528
LS167399,0.01502127,0.04973538,0.13412181,0.36894243
WJ952117,0.00699011,0.01825595,0.04590200,0.13426662
WE602111,0.03156523,0.06604240,0.13005791,0.28493397
GD961875,0.03759338,0.07361561,0.13336464,0.26367474
TJ956009,0.71726961,0.95444267,0.99786328,1.00000000
OP960829,0.72077708,0.95554336,0.99791005,1.00000000
NA945383,0.71647422,0.95436665,0.99786425,1.00000000
HG070027,0.06939652,0.13490355,0.25169208,0.51077530
MQ748114,0.06939652,0.13490355,0.25169208,0.51077530
OM156383,0.71981970,0.95700413,0.99875838,1.00000000
DO395401,0.71647457,0.95436674,0.99786425,1.00000000
ED236873,0.02896598,0.06086152,0.12087207,0.26930775
LQ491699,0.04128107,0.09469665,0.20187504,0.46819994
JE984424,0.01011063,0.02032969,0.03853631,0.08327675
HN039410,0.04680908,0.10533816,0.21911980,0.49242018
AH329297,0.72213805,0.95641089,0.99791172,1.00000000
RC276819,0.32558762,0.51208281,0.67718427,0.82341672
DT499956,0.01920354,0.05726552,0.14648076,0.38703718
GS256044,0.01948990,0.03713675,0.06620086,0.12977376
YF920516,0.03585162,0.07128044,0.13055708,0.26145469
TG765862,0.34718077,0.54415293,0.71678911,0.86725722
UA206372,0.08148849,0.13888596,0.21912164,0.37086925
PJ953909,0.03779694,0.07976056,0.14391904,0.26037717
YQ490591,0.71959042,0.95654477,0.99821790,1.00000000
MF150507,0.01499326,0.04962704,0.13391437,0.36897943
LS244934,0.05656562,0.09171645,0.13796955,0.22565416
EW664244,0.05044163,0.11094906,0.22628642,0.49830158
WD007754,0.08453159,0.14818121,0.23304266,0.37121524
DD060789,0.02544811,0.06802066,0.16181939,0.40402887
RA911363,0.01358630,0.02729451,0.05003319,0.10169786
CV324207,0.02249292,0.06151422,0.15044450,0.39237291
RV653854,0.72241217,0.95608991,0.99801073,1.00000000
MM502191,0.02713332,0.05408378,0.09980618,0.20460642
CF668249,0.02181178,0.06234334,0.15458415,0.39791502
HI514659,0.09088335,0.21949239,0.44297406,0.75793374
GK989158,0.34346005,0.53948214,0.71141648,0.86244788
RF088631,0.03908850,0.09137609,0.19793121,0.46623639
HT859944,0.08241891,0.14413202,0.22670376,0.36180065
OA243943,0.02830456,0.05707148,0.10602759,0.21711203
GV237003,0.73352237,0.96267845,0.99879643,1.00000000
WW331877,0.04021623,0.07921559,0.14340260,0.28116242
OW964109,0.08036701,0.13611064,0.21363036,0.36104313
EJ342170,0.05679719,0.09252188,0.13998145,0.23169226
