Sample,rate.50,rate.100,rate.200,rate.500
YH996041,0.06578819,0.12865457,0.24202548,0.49816496
VT397227,0.08242517,0.14086264,0.22189318,0.37323878
JI889906,0.72357266,0.95561206,0.99787614,1.00000000
UD537460,0.32498504,0.51164706,0.67723774,0.82461871
VW330608,0.72234197,0.95595065,0.99800641,1.00000000
BC681957,0.06824518,0.13198975,0.24575730,0.50099789
MS303882,0.05762032,0.09277380,0.13845462,0.22486722
GG838274,0.01518413,0.02900368,0.05176385,0.10277080
WB544363,0.02713332,0.05408378,0.09980618,0.20460642
WW668436,0.72310239,0.95911460,0.99823226,1.00000000
EP826889,0.01785957,0.05543489,0.14362871,0.38311008
FE593501,0.02249292,0.06151422,0.15044450,0.39237291
FJ722993,0.01155264,0.02313082,0.04315513,0.08663959
NT293292,0.71713669,0.95470234,0.99786433,1.00000000
GW362077,0.02713332,0.05408378,0.09980618,0.20460642
AH761070,0.04104175,0.09500538,0.20336295,0.47278502
FB523718,0.36999441,0.57198766,0.74022083,0.87380859
BF585566,0.71720258,0.95494289,0.99789270,1.00000000
EI131873,0.07117307,0.13179800,0.21781440,0.36962437
GW946602,0.09695969,0.15920482,0.24165288,0.38861282
ZJ847611,0.71868343,0.95511430,0.99786988,1.00000000
FG408326,0.03389239,0.06841932,0.12726691,0.25920355
PW748829,0.07018178,0.11652455,0.17909700,0.29633660
JW229525,0.33383582,0.52525609,0.69435415,0.84219712
QR822407,0.04648256,0.10479134,0.21857042,0.49226128
RF041334,0.03337860,0.06603103,0.12072462,0.24229193
SS128035,0.84394610,0.98870650,0.99980904,1.00000000
WN367297,0.71904193,0.95478382,0.99787490,1.00000000
YG152378,0.72337941,0.95921220,0.99822574,1.00000000
NY093664,0.01249575,0.02464638,0.04506292,0.08975316
OS427829,0.02713332,0.05408378,0.09980618,0.20460642
TF488143,0.02082269,0.06027031,0.15079349,0.39228412
UK971155,0.03493089,0.06785136,0.12198209,0.24068934
HO127075,0.08036701,0.13611064,0.21363036,0.36104313
OT254694,0.00897594,0.01901399,0.03778320,0.08379477
QV527200,0.71717430,0.95455339,0.99787376,1.00000000
TH564442,0.02739898,0.05489838,0.10174419,0.20948763
JP245287,0.03908850,0.09137609,0.19793121,0.46623639
MF335699,0.04267481,0.09666575,0.20381525,0.46864547
OE799834,0.84421677,0.98875046,0.99980719,1.00000000
XX353415,0.03362611,0.06849102,0.13185005,0.28360224
IF324640,0.09857892,0.24386192,0.48981785,0.81984724
OJ108820,0.33014601,0.51927613,0.68660926,0.83423871
NU094987,0.01689885,0.03377805,0.06287845,0.12904716
UB564651,0.34165708,0.53644565,0.70781537,0.85937545
JJ949081,0.34277441,0.53823559,0.70985670,0.86101063
RV811068,0.37474077,0.57949966,0.74914313,0.88178514
FF392752,0.01396092,0.02758211,0.05037196,0.10028703
TS839271,0.06379073,0.12483308,0.23597363,0.49016049
UK533610,0.01760378,0.05813781,0.15768970,0.42647247
UQ148407,0.02713332,0.05408378,0.09980618,0.20460642
UQ753932,0.04439102,0.11313308,0.24625083,0.53550898
YI876909,0.08425069,0.21193538,0.44128463,0.76910745
EH052498,0.02908463,0.05714212,0.10431842,0.21201069
CN050789,0.03791744,0.08839950,0.19191618,0.45654988
EO236447,0.05719779,0.12200332,0.24160646,0.51990240
ME175230,0.03388825,0.06730375,0.12322671,0.24680690
ZN669436,0.05463686,0.08702496,0.12840970,0.20667461
DM247664,0.03908850,0.09137609,0.19793121,0.46623639
LH544200,0.05986072,0.09751725,0.14774599,0.24517604
LQ635575,0.33140182,0.52137004,0.68928073,0.83726393
PV718637,0.03217142,0.07106904,0.13247553,0.24586969
GJ373999,0.00786046,0.01610707,0.03040861,0.06333243
GX055672,0.03060970,0.06175715,0.11423817,0.23185698
TP561311,0.72328551,0.95763207,0.99875538,1.00000000
VX282680,0.10732540,0.18532782,0.29311540,0.47672560
XE884868,0.71868343,0.95511430,0.99786988,1.00000000
NW860530,0.37109871,0.57403119,0.74287363,0.87656638
UE728227,0.72308301,0.95708666,0.99819685,1.00000000
CW049799,0.01822142,0.05782503,0.14834284,0.38772230
NI498165,0.03298953,0.06482694,0.11758304,0.23367123
PV847859,0.71698651,0.95458290,0.99786425,1.00000000
SG503340,0.72644497,0.95751131,0.99795762,1.00000000
TP130607,0.03174553,0.06292690,0.11582534,0.23558889
VO020126,0.03908850,0.09137609,0.19793121,0.46623639
WK971939,0.02713332,0.05408378,0.09980618,0.20460642
BA636244,0.05027471,0.08988599,0.15018246,0.27308845
CQ365110,0.02907168,0.07290778,0.16708553,0.41151039
EV854604,0.03908850,0.09137609,0.19793121,0.46623639
KX950195,0.03667678,0.07490850,0.14299293,0.30148965
OQ394665,0.72241217,0.95608991,0.99801073,1.00000000
PX578748,0.04028397,0.09343160,0.20071728,0.46870299
SP021117,0.05936270,0.09800928,0.15077455,0.25232346
XV950799,0.72328551,0.95763207,0.99875538,1.00000000
ZE182555,0.11751513,0.27191519,0.51255115,0.80274351
FL158584,0.71647422,0.95436665,0.99786425,1.00000000
HV618060,0.32844178,0.51977186,0.69562316,0.86065160
IG053882,0.04473516,0.11333937,0.24633970,0.53710936
OG884951,0.02314729,0.06260715,0.15115313,0.38928815
UR220432,0.33541383,0.53641817,0.72157441,0.89033660
YZ765266,0.72200611,0.95624626,0.99790785,1.00000000
EQ427020,0.06111934,0.12235037,0.21357637,0.37729809
MT645316,0.03802860,0.08875245,0.19281181,0.45835110
ZX742344,0.71713669,0.95470234,0.99786433,1.00000000
BP367380,0.71709282,0.95490387,0.99789058,1.00000000
DZ958878,0.72693154,0.96000777,0.99825754,1.00000000
HH642834,0.03591478,0.06977545,0.12458028,0.24311912
JW331281,0.84382287,0.98864308,0.99980745,1.00000000
MD017290,0.02934976,0.05795416,0.10623520,0.21670359
MW651937,0.37036365,0.57274341,0.74126479,0.87496609
OZ442015,0.72663620,0.95983098,0.99876129,1.00000000
RU189416,0.03433245,0.06836401,0.12530116,0.25112500
UJ633658,0.06031999,0.12027654,0.20956858,0.37065847
AH954476,0.01627293,0.05146410,0.13560328,0.36777603
DT197689,0.01566040,0.05362223,0.14912969,0.41369600
PM383343,0.04028626,0.09458320,0.20249066,0.46949248
YY988865,0.06903784,0.13357190,0.24843890,0.50433352
YZ113825,0.01930149,0.05755664,0.14716173,0.38848492
PW579192,0.71883256,0.95526616,0.99787561,1.00000000
SM717841,0.02719533,0.06921648,0.16114080,0.40456768
VY234263,0.03486791,0.06953296,0.12746369,0.25501854
WG852822,0.03430127,0.07050443,0.13653476,0.29420261
ZJ820780,0.01273269,0.02448589,0.04425802,0.08848661
EK931793,0.72245154,0.95865419,0.99833910,1.00000000
YB400702,0.00508275,0.01174184,0.02480819,0.06009194
YD008671,0.06491106,0.12680430,0.23906077,0.49419179
YN251276,0.34698752,0.54414386,0.71658344,0.86656075
BX707409,0.33895733,0.53171620,0.70075700,0.84733122
CU241212,0.05436627,0.08954123,0.13878211,0.25052295
DC116601,0.01811554,0.05448086,0.14069563,0.37689555
GX642098,0.72463539,0.95797815,0.99875917,1.00000000
LE923094,0.00226541,0.00929815,0.03101761,0.10958483
OZ370159,0.00611377,0.01286552,0.02560191,0.05726729
ZK094596,0.01566216,0.03268996,0.06757901,0.16584955
CC702072,0.32939616,0.51744637,0.68353322,0.82947826
KG964615,0.03334116,0.06587663,0.12028544,0.24103269
KZ477043,0.71686073,0.95450988,0.99791252,1.00000000
UZ818372,0.15435584,0.25136388,0.37298378,0.56088777
WX037861,0.34712008,0.54442881,0.71695365,0.86681549
ZG039934,0.06950213,0.13520990,0.25232531,0.51125553
HG173625,0.01504734,0.03010516,0.05630445,0.11710325
IK737288,0.03908850,0.09137609,0.19793121,0.46623639
IZ882356,0.01499326,0.04962704,0.13391437,0.36897943
LI329268,0.34698752,0.54414386,0.71658344,0.86656075
UT194883,0.03246738,0.06372008,0.11560196,0.23038308
YB335119,0.03291572,0.06462435,0.11704679,0.23217020
PL375255,0.02154022,0.05899944,0.14495569,0.38215165
VT365111,0.05858105,0.09653785,0.15023064,0.27010023
WM142326,0.72298938,0.95739663,0.99798087,1.00000000
XC744092,0.05618739,0.09190415,0.14205916,0.25612989
DR880178,0.01168661,0.02289802,0.04231816,0.08809869
FA457711,0.72319355,0.95760750,0.99875547,1.00000000
FV068094,0.00850311,0.02068775,0.04934420,0.14001581
HD432932,0.06847913,0.13255701,0.24677765,0.50249231
MR283895,0.13308119,0.27560684,0.50047195,0.79884838
TP431425,0.03334116,0.06587663,0.12028544,0.24103269
XH115119,0.71849678,0.95552653,0.99791225,1.00000000
GP968505,0.01253019,0.02778857,0.06131621,0.15960242
IP840936,0.03572496,0.07154222,0.13219058,0.26642478
NE560956,0.71644180,0.95443219,0.99787235,1.00000000
OW781235,0.03908850,0.09137609,0.19793121,0.46623639
SZ972064,0.02201137,0.06222329,0.15256097,0.38964533
XM411141,0.71644374,0.95437326,0.99786301,1.00000000
XT149820,0.00978393,0.02182728,0.04944682,0.13549943
FN198586,0.33684870,0.53839740,0.72351920,0.89149736
OP481847,0.32550755,0.51176413,0.67665022,0.82290196
XK727574,0.08036701,0.13611064,0.21363036,0.36104313
BJ473490,0.72344098,0.95920445,0.99822592,1.00000000
DW018325,0.09603939,0.23802227,0.48119996,0.81401005
DW879977,0.06824518,0.13198975,0.24575730,0.50099789
FW831458,0.72143911,0.95542867,0.99789287,1.00000000
NP589780,0.00393027,0.01243761,0.03556526,0.11351897
PG803905,0.01685049,0.05536469,0.15080520,0.41303221
PS791389,0.05618739,0.09190415,0.14205916,0.25612989
PT990489,0.00274564,0.00936853,0.02899699,0.09970585
QT113700,0.02823824,0.05680053,0.10582455,0.22013214
ST162140,0.03908850,0.09137609,0.19793121,0.46623639
VB077802,0.04452949,0.10116064,0.21312107,0.48557514
WJ196194,0.05603113,0.09291446,0.14542552,0.26407613
AJ891505,0.07604336,0.12928023,0.20404991,0.34884352
IE505811,0.71860019,0.95509827,0.99786856,1.00000000
KD996653,0.06137443,0.12249298,0.21284924,0.37552427
LU243185,0.06215819,0.10197435,0.15520425,0.25562764
RM264272,0.00660562,0.01297545,0.02410696,0.05175486
SK499637,0.00903108,0.01740630,0.03148983,0.06439577
TE370578,0.03291634,0.06591018,0.12200975,0.24783412
TO569127,0.33562699,0.53594358,0.72070045,0.88964947
UB931860,0.33559484,0.53672655,0.72190719,0.89056333
WG606901,0.02402055,0.06533077,0.15816332,0.40201045
XE626384,0.03802860,0.08875245,0.19281181,0.45835110
YR566743,0.00224172,0.00861665,0.02814725,0.10042039
BB148083,0.07593590,0.12894128,0.20315569,0.34678484
EI574944,0.74489347,0.96947442,0.99978464,1.00000000
JM757194,0.72397520,0.95900018,0.99882312,1.00000000
JR658183,0.08036701,0.13611064,0.21363036,0.36104313
JS285396,0.03759338,0.07361561,0.13336464,0.26367474
KI279575,0.72350590,0.95929579,0.99823014,1.00000000
MY236910,0.03156523,0.06604240,0.13005791,0.28493397
NP095956,0.02908463,0.05714212,0.10431842,0.21201069
TS228316,0.02934976,0.05795416,0.10623520,0.21670359
AZ436323,0.01653163,0.05544713,0.15233124,0.41816244
MI360504,0.00618124,0.01174352,0.02088858,0.04152920
NH243829,0.71932547,0.95695031,0.99875917,1.00000000
SB277970,0.71746630,0.95457189,0.99786522,1.00000000
UE671470,0.06287352,0.12248734,0.23106299,0.48196867
WX194323,0.03101920,0.07909791,0.18182440,0.43693270
YU641238,0.72343525,0.95778428,0.99876005,1.00000000
JQ416542,0.05795407,0.11660638,0.20383164,0.36176497
MX495884,0.00830862,0.01881800,0.03814108,0.08609471
TJ094097,0.71664748,0.95454044,0.99787094,1.00000000
VM721100,0.04335869,0.09818563,0.20711758,0.47594404
AP548960,0.37036365,0.57274341,0.74126479,0.87496609
BD940228,0.02175021,0.06105002,0.15031044,0.38821080
CS024658,0.72326208,0.95761120,0.99875450,1.00000000
DK756867,0.02855305,0.05766348,0.10743665,0.22118244
GO662209,0.72255055,0.95582505,0.99787517,1.00000000
MJ236116,0.34691644,0.54398320,0.71628871,0.86602432
PW868809,0.03332857,0.06579347,0.11997001,0.24079055
CP437800,0.72587146,0.95844579,0.99882180,1.00000000
DH083727,0.01493459,0.02840419,0.05030308,0.09827230
KJ592597,0.08036701,0.13611064,0.21363036,0.36104313
SD909203,0.03427282,0.06797847,0.12378489,0.24598429
TU904333,0.01174158,0.02650793,0.05908876,0.15541742
WS993881,0.71679766,0.95465988,0.99787103,1.00000000
AN801016,0.03246738,0.06372008,0.11560196,0.23038308
BE099274,0.00274564,0.00936853,0.02899699,0.09970585
ZW725633,0.36780774,0.56939687,0.73744709,0.87162509
EP826129,0.71850947,0.95550522,0.99791128,1.00000000
MI013541,0.72675881,0.96196083,0.99898678,1.00000000
TF132355,0.72272689,0.95632351,0.99790741,1.00000000
WF098442,0.06870506,0.13399400,0.25084824,0.50857032
WW621794,0.05859646,0.09566662,0.14520479,0.24050234
GL764741,0.02082269,0.06027031,0.15079349,0.39228412
NI555118,0.03558323,0.06974815,0.12626170,0.24999665
UR039273,0.07778891,0.13227365,0.20798670,0.35272156
ZX303297,0.04418649,0.09101196,0.16165917,0.28975485
LD646751,0.11202869,0.25431282,0.48646346,0.79525247
RX295147,0.33626181,0.53751912,0.72248951,0.89030630
VR974691,0.02684018,0.05362232,0.09916106,0.20393681
VT439023,0.72234197,0.95595065,0.99800641,1.00000000
KM672291,0.71939550,0.95693410,0.99875098,1.00000000
NE455314,0.01490896,0.04936843,0.13313660,0.36661774
OD563707,0.05034007,0.12323587,0.26118507,0.55454331
PQ019402,0.01097050,0.02491777,0.05614326,0.15016748
YT556349,0.71947838,0.95519032,0.99786892,1.00000000
BO691217,0.04038465,0.07873395,0.14053391,0.27080375
HD143613,0.02099586,0.06061542,0.15152211,0.39373010
IM301482,0.05944215,0.09708653,0.14760708,0.24277788
IY740960,0.06190839,0.12375477,0.21494104,0.37755459
LJ501075,0.06185131,0.10221006,0.15876616,0.28253952
UR037737,0.03525838,0.06955436,0.12514225,0.24368673
VU634626,0.02713332,0.05408378,0.09980618,0.20460642
WF523568,0.72199800,0.95597241,0.99786654,1.00000000
KO267493,0.71647422,0.95436665,0.99786425,1.00000000
PY916704,0.05580343,0.09074260,0.13961547,0.25242696
QP194424,0.06824518,0.13198975,0.24575730,0.50099789
XA334516,0.71716162,0.95457471,0.99787473,1.00000000
ZK526534,0.06795803,0.13319077,0.25009328,0.50940350
DM301970,0.01769292,0.05481399,0.14208999,0.37947709
GC996651,0.04366654,0.11072885,0.24146941,0.53046084
IT581561,0.06939652,0.13490355,0.25169208,0.51077530
IV185293,0.04674469,0.08603094,0.15193769,0.30202299
NE921221,0.74157969,0.96718593,0.99950145,1.00000000
WP072873,0.01930149,0.05755664,0.14716173,0.38848492
YK675744,0.01751966,0.05446606,0.14133961,0.37797201
HA469182,0.34056493,0.54415487,0.73126303,0.89940442
OD052630,0.02283248,0.06414958,0.15706889,0.40131045
OP247065,0.01412872,0.04720369,0.12841957,0.35792921
SD891023,0.71875636,0.95474198,0.99786548,1.00000000
WU141380,0.34691644,0.54398320,0.71628871,0.86602432
XK805958,0.36874169,0.57045422,0.73829189,0.87229911
DF482553,0.02713332,0.05408378,0.09980618,0.20460642
KN186707,0.04918750,0.12037634,0.25566067,0.54651030
OW338232,0.71906659,0.95483006,0.99786451,1.00000000
PM135012,0.01490896,0.04936843,0.13313660,0.36661774
PY486092,0.03798156,0.07427245,0.13317685,0.25909688
WZ633302,0.33373082,0.52473993,0.69354819,0.84126643
ZQ021549,0.09240129,0.23420175,0.47886550,0.81346006
DD869488,0.05507164,0.11286857,0.22197431,0.48390429
EB405485,0.73421162,0.96219249,0.99882242,1.00000000
IJ267060,0.01485911,0.02948646,0.05483637,0.11347634
NV186145,0.32277002,0.50865285,0.67385552,0.82147519
SQ342450,0.05574089,0.08971951,0.13426133,0.22069314
WC509975,0.73030433,0.95901243,0.99795321,1.00000000
XB540163,0.06108411,0.09951154,0.15084651,0.24843370
ZK699203,0.04343250,0.09838804,0.20764634,0.47723226
BU258265,0.71653905,0.95437203,0.99786469,1.00000000
CS636630,0.71939602,0.95696863,0.99875195,1.00000000
KM601311,0.05617682,0.11370923,0.20020155,0.35812775
QP957710,0.72065940,0.95766026,0.99878577,1.00000000
XD202884,0.06847913,0.13255701,0.24677765,0.50249231
XP592070,0.02144588,0.06169769,0.15371283,0.39729526
IQ553381,0.03734586,0.07326504,0.13154018,0.25847149
AJ060934,0.37036823,0.57183739,0.73959738,0.87266597
DF384822,0.03291634,0.06591018,0.12200975,0.24783412
GF170625,0.00827991,0.01727628,0.03324383,0.07155473
OR743518,0.71829287,0.95536402,0.99790741,1.00000000
SN968302,0.03347470,0.06653108,0.12137326,0.24180791
WM051316,0.71796273,0.95465319,0.99786451,1.00000000
XY337478,0.11064552,0.25155758,0.48176202,0.78789216
PP274205,0.37036365,0.57274341,0.74126479,0.87496609
SH122153,0.01977230,0.05711279,0.14408807,0.38315509
CF773926,0.73144149,0.95922224,0.99795233,1.00000000
NE982910,0.03901469,0.09117306,0.19739980,0.46496412
TA865919,0.02865619,0.05812116,0.10873192,0.22447120
YW286579,0.01490896,0.04936843,0.13313660,0.36661774
ZU115700,0.02973618,0.05957709,0.10985119,0.22386871
BB892688,0.03326735,0.06567403,0.11974945,0.23953995
IO630165,0.01222797,0.02439164,0.04468707,0.09101539
VY563784,0.06179679,0.12568916,0.24287143,0.51166750
XG294932,0.72535195,0.95830212,0.99875820,1.00000000
LJ970887,0.07517187,0.12726021,0.20025158,0.34291561
